customer_id,customer_name,signup_date,region
1,Customer 1,2023-01-03,Rajshahi
2,Customer 2,2023-01-05,Dhaka
3,Customer 3,2023-01-07,Chittagong
4,Customer 4,2023-01-09,Khulna
5,Customer 5,2023-01-11,Rajshahi
6,Customer 6,2023-01-13,Rajshahi
7,Customer 7,2023-01-15,Rajshahi
8,Customer 8,2023-01-17,Rajshahi
9,Customer 9,2023-01-19,Dhaka
10,Customer 10,2023-01-21,Chittagong
11,Customer 11,2023-01-23,Khulna
12,Customer 12,2023-01-25,Rajshahi
13,Customer 13,2023-01-27,Dhaka
14,Customer 14,2023-01-29,Chittagong
15,Customer 15,2023-01-31,Khulna
16,Customer 16,2023-02-02,Khulna
17,Customer 17,2023-02-04,Khulna
18,Customer 18,2023-02-06,Dhaka
19,Customer 19,2023-02-08,Rajshahi
20,Customer 20,2023-02-10,Khulna
21,Customer 21,2023-02-12,Dhaka
22,Customer 22,2023-02-14,Dhaka
23,Customer 23,2023-02-16,Rajshahi
24,Customer 24,2023-02-18,Rajshahi
25,Customer 25,2023-02-20,Dhaka
26,Customer 26,2023-02-22,Dhaka
27,Customer 27,2023-02-24,Rajshahi
28,Customer 28,2023-02-26,Rajshahi
29,Customer 29,2023-02-28,Khulna
30,Customer 30,2023-03-02,Khulna
31,Customer 31,2023-03-04,Rajshahi
32,Customer 32,2023-03-06,Dhaka
33,Customer 33,2023-03-08,Dhaka
34,Customer 34,2023-03-10,Rajshahi
35,Customer 35,2023-03-12,Chittagong
36,Customer 36,2023-03-14,Dhaka
37,Customer 37,2023-03-16,Dhaka
38,Customer 38,2023-03-18,Rajshahi
39,Customer 39,2023-03-20,Chittagong
40,Customer 40,2023-03-22,Dhaka
41,Customer 41,2023-03-24,Rajshahi
42,Customer 42,2023-03-26,Chittagong
43,Customer 43,2023-03-28,Dhaka
44,Customer 44,2023-03-30,Khulna
45,Customer 45,2023-04-01,Dhaka
46,Customer 46,2023-04-03,Chittagong
47,Customer 47,2023-04-05,Khulna
48,Customer 48,2023-04-07,Khulna
49,Customer 49,2023-04-09,Dhaka
50,Customer 50,2023-04-11,Khulna
