order_item_id,order_id,product_id,quantity,discount
1,1,5,4,0.07
2,2,9,5,0.22
3,3,4,2,0.09
4,4,4,2,0.16
5,5,10,4,0.2
6,6,8,2,0.12
7,7,8,5,0.06
8,8,2,3,0.07
9,9,8,5,0.2
10,10,8,2,0.02
11,11,9,1,0.04
12,12,3,1,0.06
13,13,9,2,0.21
14,14,5,1,0.19
15,15,4,4,0.24
16,16,5,3,0.28
17,17,9,3,0.19
18,18,8,1,0.24
19,19,7,1,0.25
20,20,1,3,0.17
21,21,6,2,0.12
22,22,8,3,0.24
23,23,7,5,0.1
24,24,8,5,0.19
25,25,9,2,0.13
26,26,1,2,0.04
27,27,2,1,0.03
28,28,6,4,0.03
29,29,3,2,0.07
30,30,8,1,0.02
31,31,7,2,0.21
32,32,6,5,0.09
33,33,10,5,0.2
34,34,9,5,0.21
35,35,7,3,0.21
36,36,2,1,0.23
37,37,4,1,0.16
38,38,6,5,0.21
39,39,5,2,0.26
40,40,3,3,0.03
41,41,1,3,0.08
42,42,3,5,0.18
43,43,10,1,0.28
44,44,5,5,0.04
45,45,1,3,0.12
46,46,10,5,0.02
47,47,3,4,0.28
48,48,8,3,0.09
49,49,10,4,0.17
50,50,1,1,0.03
51,51,2,5,0.24
52,52,3,3,0.02
53,53,6,4,0.07
54,54,6,4,0.01
55,55,7,5,0.03
56,56,4,2,0.2
57,57,2,4,0.08
58,58,9,1,0.15
59,59,5,3,0.19
60,60,2,2,0.14
61,61,3,4,0.11
62,62,5,4,0.29
63,63,2,1,0.24
64,64,7,3,0.06
65,65,2,4,0.24
66,66,1,3,0.12
67,67,4,3,0.02
68,68,2,3,0.12
69,69,5,5,0.05
70,70,1,5,0.22
71,71,9,2,0.12
72,72,10,2,0.24
73,73,5,1,0.29
74,74,5,4,0.14
75,75,6,5,0.08
76,76,6,5,0.18
77,77,6,2,0.16
78,78,10,4,0.16
79,79,7,5,0.13
80,80,6,4,0.12
81,81,6,4,0.09
82,82,1,4,0.27
83,83,2,1,0.18
84,84,2,4,0.24
85,85,6,1,0.13
86,86,9,5,0.11
87,87,10,4,0.04
88,88,3,3,0.15
89,89,4,4,0.16
90,90,10,5,0.07
91,91,9,1,0.07
92,92,1,4,0.12
93,93,6,4,0.26
94,94,5,1,0.24
95,95,1,4,0.23
96,96,3,5,0.16
97,97,3,3,0.27
98,98,9,2,0.01
99,99,10,2,0.05
100,100,4,4,0.14
101,101,10,3,0.23
102,102,7,5,0.14
103,103,1,4,0.3
104,104,1,5,0.29
105,105,10,2,0.27
106,106,10,1,0.25
107,107,1,5,0.08
108,108,6,1,0.2
109,109,7,1,0.02
110,110,4,2,0.25
111,111,6,3,0.1
112,112,3,3,0.06
113,113,10,4,0.16
114,114,4,4,0.18
115,115,5,5,0.12
116,116,6,5,0.17
117,117,1,5,0.25
118,118,6,5,0.09
119,119,8,4,0.17
120,120,6,5,0.17
121,121,7,4,0.09
122,122,8,5,0.15
123,123,6,2,0.08
124,124,4,5,0.12
125,125,4,5,0.08
126,126,10,4,0.09
127,127,7,4,0.23
128,128,10,4,0.3
129,129,5,1,0.25
130,130,8,3,0.24
131,131,3,4,0.16
132,132,8,2,0.23
133,133,9,5,0.3
134,134,1,3,0.08
135,135,3,3,0.26
136,136,9,2,0.07
137,137,3,3,0.09
138,138,3,1,0.17
139,139,1,2,0.12
140,140,8,2,0.17
141,141,8,5,0.3
142,142,4,2,0.14
143,143,6,2,0.14
144,144,2,5,0.27
145,145,3,3,0.19
146,146,2,5,0.1
147,147,2,1,0.25
148,148,5,5,0.24
149,149,10,5,0.22
150,150,10,5,0.09
151,151,6,2,0.05
152,152,4,2,0.17
153,153,4,3,0.02
154,154,1,4,0.19
155,155,3,1,0.13
156,156,8,2,0.21
157,157,3,5,0.2
158,158,4,2,0.09
159,159,5,4,0.04
160,160,8,1,0.29
161,161,10,4,0.0
162,162,9,2,0.12
163,163,1,3,0.16
164,164,10,1,0.15
165,165,3,1,0.23
166,166,2,4,0.28
167,167,2,1,0.24
168,168,10,5,0.23
169,169,3,2,0.11
170,170,8,4,0.26
171,171,3,2,0.22
172,172,1,1,0.1
173,173,7,2,0.03
174,174,3,4,0.11
175,175,1,4,0.18
176,176,7,2,0.05
177,177,1,5,0.23
178,178,9,4,0.23
179,179,3,3,0.19
180,180,1,4,0.27
181,181,1,1,0.06
182,182,7,1,0.08
183,183,10,1,0.04
184,184,1,2,0.16
185,185,4,2,0.09
186,186,6,1,0.07
187,187,8,4,0.02
188,188,7,3,0.3
189,189,7,4,0.24
190,190,10,2,0.1
191,191,4,3,0.12
192,192,7,2,0.17
193,193,2,3,0.02
194,194,4,3,0.11
195,195,10,5,0.17
196,196,7,5,0.29
197,197,7,1,0.29
198,198,7,2,0.23
199,199,7,4,0.02
200,200,1,4,0.18
201,201,7,2,0.14
202,202,1,4,0.19
203,203,7,2,0.12
204,204,6,1,0.15
205,205,7,4,0.13
206,206,4,2,0.04
207,207,2,5,0.22
208,208,5,3,0.0
209,209,6,1,0.14
210,210,10,5,0.25
211,211,5,3,0.24
212,212,3,5,0.1
213,213,9,2,0.16
214,214,10,5,0.27
215,215,10,5,0.09
216,216,1,3,0.17
217,217,10,1,0.28
218,218,4,4,0.29
219,219,2,4,0.2
220,220,2,2,0.29
221,221,6,5,0.23
222,222,2,1,0.29
223,223,1,2,0.2
224,224,9,1,0.2
225,225,4,1,0.02
226,226,2,5,0.15
227,227,7,2,0.1
228,228,3,4,0.01
229,229,10,4,0.19
230,230,9,2,0.29
231,231,6,2,0.17
232,232,3,4,0.11
233,233,3,4,0.28
234,234,4,1,0.2
235,235,5,1,0.05
236,236,9,5,0.18
237,237,8,5,0.26
238,238,1,2,0.23
239,239,6,4,0.15
240,240,7,4,0.21
241,241,3,3,0.26
242,242,6,1,0.22
243,243,9,2,0.17
244,244,9,1,0.29
245,245,5,3,0.02
246,246,4,1,0.09
247,247,4,4,0.29
248,248,6,3,0.01
249,249,2,3,0.21
250,250,2,4,0.16
251,251,5,1,0.18
252,252,1,3,0.02
253,253,7,1,0.0
254,254,10,4,0.1
255,255,7,1,0.12
256,256,2,4,0.19
257,257,3,4,0.16
258,258,2,3,0.02
259,259,9,1,0.02
260,260,2,4,0.2
261,261,4,2,0.25
262,262,6,1,0.15
263,263,5,4,0.07
264,264,4,2,0.12
265,265,4,5,0.02
266,266,5,4,0.22
267,267,9,2,0.07
268,268,2,3,0.14
269,269,3,1,0.09
270,270,8,3,0.11
271,271,10,5,0.15
272,272,7,2,0.06
273,273,10,5,0.22
274,274,3,3,0.03
275,275,5,3,0.23
276,276,1,3,0.01
277,277,3,4,0.15
278,278,3,3,0.18
279,279,1,1,0.07
280,280,5,2,0.01
281,281,5,5,0.21
282,282,8,1,0.21
283,283,2,2,0.01
284,284,3,5,0.05
285,285,4,4,0.04
286,286,5,1,0.1
287,287,9,1,0.05
288,288,4,3,0.13
289,289,2,3,0.22
290,290,4,5,0.24
291,291,5,5,0.25
292,292,7,5,0.07
293,293,8,5,0.15
294,294,10,2,0.25
295,295,2,4,0.27
296,296,9,3,0.22
297,297,7,5,0.14
298,298,9,1,0.05
299,299,5,5,0.24
300,300,4,5,0.09
301,301,6,4,0.05
302,302,10,4,0.05
303,303,6,1,0.21
304,304,7,1,0.28
305,305,4,2,0.04
306,306,9,3,0.29
307,307,3,2,0.23
308,308,8,2,0.1
309,309,8,3,0.02
310,310,8,2,0.12
311,311,10,5,0.16
312,312,3,2,0.1
313,313,3,5,0.24
314,314,7,2,0.11
315,315,9,1,0.16
316,316,1,1,0.17
317,317,7,1,0.24
318,318,9,4,0.03
319,319,6,2,0.25
320,320,2,3,0.18
321,321,9,2,0.25
322,322,9,2,0.15
323,323,7,2,0.17
324,324,10,1,0.28
325,325,6,1,0.19
326,326,1,3,0.19
327,327,9,2,0.25
328,328,6,2,0.27
329,329,1,1,0.07
330,330,3,5,0.2
331,331,7,2,0.04
332,332,10,1,0.02
333,333,4,2,0.19
334,334,8,5,0.15
335,335,7,2,0.26
336,336,1,1,0.11
337,337,8,3,0.26
338,338,9,4,0.23
339,339,5,4,0.1
340,340,8,2,0.08
341,341,3,5,0.21
342,342,9,1,0.23
343,343,2,4,0.17
344,344,3,5,0.04
345,345,1,5,0.24
346,346,6,3,0.19
347,347,10,2,0.19
348,348,10,2,0.16
349,349,5,1,0.12
350,350,4,5,0.24
351,351,2,4,0.16
352,352,5,1,0.22
353,353,1,1,0.15
354,354,4,1,0.04
355,355,10,4,0.04
356,356,9,1,0.01
357,357,2,3,0.09
358,358,3,4,0.04
359,359,1,5,0.24
360,360,6,4,0.15
361,361,8,2,0.17
362,362,6,2,0.14
363,363,3,5,0.2
364,364,10,5,0.16
365,365,2,2,0.28
366,366,8,1,0.25
367,367,7,4,0.06
368,368,5,4,0.26
369,369,7,3,0.14
370,370,4,1,0.29
371,371,8,2,0.18
372,372,3,1,0.0
373,373,7,1,0.0
374,374,3,3,0.08
375,375,7,5,0.25
376,376,6,3,0.17
377,377,3,5,0.02
378,378,5,5,0.15
379,379,8,2,0.06
380,380,4,5,0.02
381,381,4,4,0.11
382,382,8,1,0.06
383,383,7,4,0.05
384,384,1,5,0.16
385,385,1,3,0.22
386,386,8,3,0.3
387,387,3,3,0.21
388,388,7,1,0.04
389,389,1,5,0.18
390,390,1,2,0.06
391,391,10,2,0.1
392,392,5,3,0.19
393,393,10,4,0.25
394,394,8,3,0.11
395,395,9,4,0.07
396,396,1,1,0.03
397,397,3,2,0.17
398,398,2,1,0.29
399,399,5,4,0.16
400,400,6,3,0.01
401,401,10,5,0.09
402,402,10,5,0.22
403,403,2,2,0.28
404,404,1,5,0.04
405,405,6,1,0.26
406,406,1,5,0.23
407,407,7,3,0.13
408,408,7,5,0.28
409,409,6,2,0.16
410,410,7,1,0.1
411,411,2,3,0.13
412,412,9,5,0.07
413,413,10,1,0.13
414,414,6,2,0.19
415,415,10,4,0.11
416,416,8,4,0.04
417,417,4,2,0.28
418,418,6,2,0.22
419,419,9,4,0.05
420,420,8,3,0.25
421,421,1,3,0.29
422,422,6,1,0.08
423,423,1,1,0.16
424,424,10,1,0.28
425,425,10,3,0.1
426,426,5,3,0.11
427,427,7,4,0.06
428,428,9,4,0.14
429,429,2,3,0.27
430,430,9,5,0.29
431,431,6,1,0.05
432,432,9,5,0.28
433,433,2,3,0.06
434,434,3,3,0.26
435,435,2,1,0.24
436,436,4,5,0.01
437,437,8,2,0.11
438,438,10,5,0.09
439,439,10,4,0.25
440,440,4,5,0.07
441,441,10,1,0.14
442,442,5,1,0.22
443,443,9,2,0.3
444,444,9,4,0.11
445,445,6,2,0.1
446,446,3,3,0.16
447,447,4,3,0.28
448,448,3,3,0.3
449,449,1,1,0.09
450,450,8,3,0.14
451,451,4,2,0.2
452,452,5,2,0.06
453,453,4,4,0.05
454,454,7,1,0.1
455,455,8,1,0.23
456,456,1,5,0.01
457,457,1,3,0.29
458,458,7,5,0.13
459,459,10,1,0.19
460,460,3,2,0.13
461,461,3,2,0.11
462,462,2,4,0.05
463,463,4,1,0.24
464,464,4,2,0.26
465,465,2,4,0.02
466,466,2,3,0.24
467,467,10,5,0.02
468,468,3,3,0.14
469,469,10,5,0.1
470,470,3,2,0.03
471,471,2,4,0.17
472,472,7,3,0.17
473,473,3,3,0.18
474,474,6,2,0.14
475,475,9,4,0.3
476,476,3,5,0.09
477,477,2,4,0.18
478,478,1,1,0.02
479,479,9,3,0.01
480,480,2,2,0.3
481,481,7,2,0.18
482,482,2,2,0.05
483,483,1,1,0.1
484,484,6,4,0.28
485,485,10,3,0.08
486,486,7,3,0.24
487,487,3,1,0.2
488,488,3,1,0.03
489,489,7,2,0.0
490,490,8,4,0.29
491,491,10,1,0.12
492,492,8,4,0.16
493,493,6,3,0.02
494,494,8,3,0.28
495,495,10,3,0.0
496,496,3,5,0.09
497,497,9,2,0.11
498,498,9,1,0.24
499,499,3,2,0.25
500,500,4,1,0.3
