order_id,customer_id,order_date,payment_method
1,10,2024-03-06,Card
2,24,2024-03-30,Mobile Banking
3,36,2024-03-30,Mobile Banking
4,4,2024-05-02,Mobile Banking
5,9,2024-01-22,Card
6,20,2024-04-12,Mobile Banking
7,49,2024-04-17,Cash
8,2,2024-04-30,Mobile Banking
9,1,2024-06-14,Mobile Banking
10,17,2024-01-26,Cash
11,32,2024-05-06,Card
12,30,2024-03-09,Cash
13,45,2024-06-06,Cash
14,29,2024-05-30,Cash
15,8,2024-02-02,Card
16,24,2024-03-04,Card
17,11,2024-01-11,Mobile Banking
18,42,2024-03-18,Card
19,36,2024-06-12,Card
20,1,2024-06-10,Cash
21,8,2024-02-08,Mobile Banking
22,24,2024-04-13,Card
23,29,2024-04-22,Cash
24,33,2024-05-31,Card
25,22,2024-01-01,Card
26,37,2024-03-23,Cash
27,36,2024-01-07,Cash
28,34,2024-05-25,Cash
29,4,2024-01-03,Mobile Banking
30,28,2024-01-15,Mobile Banking
31,34,2024-06-23,Mobile Banking
32,20,2024-03-07,Cash
33,28,2024-02-01,Mobile Banking
34,5,2024-05-16,Mobile Banking
35,20,2024-03-18,Card
36,34,2024-06-18,Card
37,31,2024-06-03,Cash
38,38,2024-04-13,Mobile Banking
39,10,2024-01-19,Cash
40,30,2024-03-25,Mobile Banking
41,18,2024-01-24,Cash
42,32,2024-06-05,Mobile Banking
43,3,2024-04-02,Mobile Banking
44,20,2024-05-03,Mobile Banking
45,19,2024-02-15,Cash
46,22,2024-04-07,Cash
47,4,2024-01-02,Mobile Banking
48,12,2024-01-25,Cash
49,48,2024-04-13,Mobile Banking
50,17,2024-02-28,Mobile Banking
51,13,2024-02-06,Cash
52,30,2024-02-12,Cash
53,44,2024-02-17,Card
54,42,2024-03-27,Mobile Banking
55,10,2024-06-20,Mobile Banking
56,13,2024-05-09,Cash
57,4,2024-03-25,Card
58,47,2024-03-28,Cash
59,15,2024-06-23,Mobile Banking
60,21,2024-02-21,Card
61,16,2024-05-05,Mobile Banking
62,36,2024-01-28,Cash
63,49,2024-02-05,Cash
64,5,2024-05-30,Mobile Banking
65,44,2024-04-26,Cash
66,9,2024-03-30,Card
67,27,2024-04-27,Cash
68,44,2024-01-26,Card
69,48,2024-01-31,Cash
70,24,2024-04-16,Mobile Banking
71,14,2024-03-17,Cash
72,40,2024-06-23,Card
73,4,2024-03-28,Card
74,30,2024-04-12,Mobile Banking
75,13,2024-03-29,Mobile Banking
76,13,2024-03-27,Mobile Banking
77,16,2024-06-04,Cash
78,30,2024-05-10,Card
79,9,2024-02-20,Card
80,39,2024-05-26,Cash
81,7,2024-04-17,Mobile Banking
82,22,2024-01-18,Mobile Banking
83,45,2024-02-22,Card
84,28,2024-01-05,Mobile Banking
85,8,2024-03-30,Mobile Banking
86,18,2024-03-16,Card
87,43,2024-04-11,Mobile Banking
88,48,2024-02-28,Mobile Banking
89,6,2024-01-04,Card
90,37,2024-06-07,Card
91,42,2024-03-03,Mobile Banking
92,42,2024-01-01,Mobile Banking
93,30,2024-04-18,Mobile Banking
94,27,2024-04-30,Mobile Banking
95,1,2024-03-20,Mobile Banking
96,23,2024-04-10,Cash
97,35,2024-02-14,Cash
98,13,2024-05-21,Cash
99,7,2024-04-06,Mobile Banking
100,41,2024-04-26,Cash
101,35,2024-02-25,Mobile Banking
102,43,2024-03-16,Card
103,47,2024-04-06,Cash
104,50,2024-05-14,Card
105,30,2024-02-18,Cash
106,39,2024-05-11,Cash
107,43,2024-06-15,Mobile Banking
108,18,2024-02-25,Card
109,6,2024-05-12,Mobile Banking
110,16,2024-04-14,Cash
111,50,2024-01-31,Card
112,13,2024-01-27,Card
113,42,2024-02-16,Cash
114,41,2024-02-25,Card
115,29,2024-02-11,Mobile Banking
116,48,2024-02-24,Cash
117,38,2024-01-27,Mobile Banking
118,10,2024-04-01,Card
119,24,2024-05-29,Card
120,22,2024-04-07,Card
121,5,2024-02-07,Mobile Banking
122,28,2024-02-14,Mobile Banking
123,13,2024-06-26,Cash
124,42,2024-02-15,Card
125,12,2024-03-22,Card
126,7,2024-02-25,Card
127,34,2024-01-18,Mobile Banking
128,22,2024-04-28,Card
129,22,2024-03-18,Card
130,31,2024-03-03,Cash
131,44,2024-02-17,Cash
132,29,2024-03-10,Mobile Banking
133,13,2024-05-30,Cash
134,13,2024-02-10,Mobile Banking
135,46,2024-02-21,Cash
136,37,2024-03-06,Cash
137,8,2024-06-22,Cash
138,22,2024-02-02,Cash
139,42,2024-04-25,Card
140,39,2024-05-12,Card
141,16,2024-01-30,Card
142,44,2024-03-17,Card
143,19,2024-04-10,Cash
144,29,2024-01-01,Card
145,17,2024-01-03,Card
146,6,2024-02-17,Cash
147,36,2024-03-26,Mobile Banking
148,14,2024-01-23,Cash
149,33,2024-03-14,Cash
150,24,2024-03-27,Mobile Banking
151,32,2024-04-29,Card
152,34,2024-03-28,Card
153,46,2024-06-20,Cash
154,41,2024-02-22,Card
155,28,2024-01-11,Cash
156,15,2024-05-16,Cash
157,46,2024-03-16,Card
158,42,2024-04-29,Card
159,43,2024-02-09,Card
160,33,2024-02-26,Cash
161,35,2024-03-08,Card
162,32,2024-04-25,Card
163,49,2024-03-12,Cash
164,39,2024-04-22,Card
165,19,2024-01-17,Mobile Banking
166,10,2024-03-11,Mobile Banking
167,10,2024-01-08,Mobile Banking
168,14,2024-03-18,Card
169,22,2024-01-17,Card
170,44,2024-01-03,Card
171,2,2024-04-13,Mobile Banking
172,32,2024-05-12,Card
173,15,2024-01-30,Cash
174,17,2024-03-18,Mobile Banking
175,49,2024-01-25,Mobile Banking
176,26,2024-04-09,Card
177,50,2024-04-17,Cash
178,47,2024-05-12,Cash
179,34,2024-05-29,Mobile Banking
180,22,2024-06-04,Card
181,20,2024-06-21,Cash
182,19,2024-04-30,Cash
183,1,2024-06-04,Cash
184,14,2024-03-26,Card
185,11,2024-01-26,Mobile Banking
186,28,2024-04-19,Card
187,29,2024-01-06,Mobile Banking
188,9,2024-05-08,Card
189,34,2024-06-22,Mobile Banking
190,37,2024-01-18,Card
191,26,2024-03-15,Cash
192,45,2024-02-09,Mobile Banking
193,43,2024-05-31,Cash
194,29,2024-03-17,Card
195,8,2024-02-22,Cash
196,50,2024-01-25,Cash
197,16,2024-01-03,Card
198,1,2024-04-11,Mobile Banking
199,19,2024-03-12,Card
200,40,2024-06-27,Card
201,45,2024-02-05,Card
202,49,2024-04-06,Card
203,1,2024-04-24,Card
204,45,2024-01-26,Card
205,10,2024-06-18,Mobile Banking
206,47,2024-02-21,Card
207,35,2024-01-06,Mobile Banking
208,49,2024-05-04,Cash
209,44,2024-06-12,Cash
210,6,2024-03-20,Cash
211,22,2024-02-10,Cash
212,17,2024-01-05,Card
213,42,2024-06-04,Mobile Banking
214,12,2024-01-09,Cash
215,43,2024-03-06,Cash
216,33,2024-01-21,Cash
217,41,2024-01-03,Cash
218,37,2024-06-23,Card
219,6,2024-03-18,Card
220,29,2024-01-09,Card
221,44,2024-05-29,Cash
222,30,2024-05-19,Card
223,50,2024-03-05,Cash
224,47,2024-01-11,Card
225,43,2024-04-15,Mobile Banking
226,49,2024-04-30,Mobile Banking
227,32,2024-04-23,Card
